IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
40.233.70.7,8443,true,YYZ,North America,Toronto,255 ms,4901 kB/s
129.151.148.35,443,true,AMS,Europe,Amsterdam,191 ms,3770 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,254 ms,1511 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,302 ms,1267 kB/s
141.144.193.68,443,true,FRA,Europe,Frankfurt,244 ms,1192 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,295 ms,1045 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,249 ms,419 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,317 ms,323 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,316 ms,284 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,300 ms,249 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,382 ms,246 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,290 ms,243 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,237 ms,192 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,241 ms,150 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,290 ms,147 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,284 ms,115 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,371 ms,99 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,269 ms,83 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,377 ms,76 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,299 ms,67 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,368 ms,42 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,293 ms,35 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,371 ms,24 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,267 ms,0 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,257 ms,0 kB/s
64.181.240.173,443,true,SJC,North America,San Jose,198 ms,0 kB/s
132.145.54.84,8443,true,LHR,Europe,London,237 ms,0 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,192 ms,0 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,200 ms,0 kB/s
152.70.123.225,8443,true,SJC,North America,San Jose,192 ms,0 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,139 ms,0 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,263 ms,0 kB/s
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,134 ms,0 kB/s
193.123.235.59,443,true,ICN,Asia Pacific,Seoul,63 ms,0 kB/s
